Name,Poster Code,Latitude,Longitude
Sainsbury's,WC1N 1AF,51.524273,-0.123529
Sainsbury's,SE7 7SA,51.488758,0.027368
Sainsbury's,IG10 3SZ,#N/A,#N/A
Sainsbury's,SE2 9SA,51.493325,0.121514
Sainsbury's,SW8 2LF,51.48153,-0.127949
Sainsbury's,SE1 6TJ,51.494748,-0.098742
Sainsbury's,SM1 1LD,51.367893,-0.195271
Sainsbury's,W4 5UT,51.492919,-0.264975
Sainsbury's,SW8 3JW,51.466584,-0.149944
Sainsbury's,SW11 1SA,51.463681,-0.168935
Sainsbury's,N1 2XQ,51.53732,-0.102791
Sainsbury's,N1 3PS,51.541384,-0.09495
Sainsbury's,SW11 3BY,51.470632,-0.170688
Sainsbury's,NW1 0JH,51.5354,-0.139019
Sainsbury's,W1H 7AP,51.513448,-0.160019
Sainsbury's,W2 5RT,51.515378,-0.19335
Sainsbury's,SW10 9QR,51.487152,-0.179428
Sainsbury's,EC4A 1BX,#N/A,#N/A
Sainsbury's,SW5 9QR,51.494187,-0.19946
Sainsbury's,SW3 1JJ,51.499359,-0.16475
Sainsbury's,EC3M 3JY,#N/A,#N/A
Sainsbury's,W1T 3JQ,51.518154,-0.13854
Sainsbury's,W12 8AA,51.505071,-0.2231
Sainsbury's,NW1 8AN,51.543351,-0.1499
Sainsbury's,SW1W 9SJ,51.494538,-0.145769
Sainsbury's,W5 2NP,51.514148,-0.30244
Sainsbury's,SW4 7TP,51.463995,-0.131344
Sainsbury's,NW5 2HP,51.55615,-0.138692
Sainsbury's,N19 5SE,51.564904,-0.133299
Sainsbury's,SW6 1NB,51.48173,-0.199893
Sainsbury's,SW15 1LN,51.468231,-0.222798
Sainsbury's,SW12 9DY,51.452448,-0.147187
Sainsbury's,SW2 1HP,51.446747,-0.124579
Sainsbury's,SW19 8DZ,51.439724,-0.197401
Sainsbury's,NW6 7QE,51.546076,-0.203124
Sainsbury's,SE24 9QH,51.453669,-0.10154
Sainsbury's,BR2 7EQ,51.377274,0.011202
Sainsbury's,SM3 8RQ,51.357947,-0.215723
Sainsbury's,RM3 8DX,51.606342,0.218529
Sainsbury's,SW2 4TS,51.440542,-0.125136
Sainsbury's,EC3V 9AU,#N/A,#N/A
Sainsbury's,W2 6PY,51.518915,-0.179531
Sainsbury's,NW6 6RG,51.537705,-0.206572
Sainsbury's,DA7 4EQ,51.462202,0.131832
Sainsbury's,W1W 5QQ,51.521943,-0.143229
Sainsbury's,SW13 0NY,51.470291,-0.255791
Sainsbury's,N16 7NY,51.559995,-0.073717
Sainsbury's,SE1 3UN,51.497386,-0.080779
Sainsbury's,SE27 9AG,51.434137,-0.104321
Sainsbury's,SW15 6SJ,51.461842,-0.221909
Sainsbury's,NW5 2TJ,51.550433,-0.141074
Sainsbury's,EN5 5XP,51.655804,-0.201379
Sainsbury's,E2 0EL,51.526759,-0.055744
Sainsbury's,SE22 8JJ,51.449933,-0.074825
Sainsbury's,HA5 5ER,51.576634,-0.371464
Sainsbury's,SW17 9NN,51.422805,-0.160688
Sainsbury's,CR0 6RD,51.380774,-0.072368
Sainsbury's,IG1 1LL,51.55913,0.075004
Sainsbury's,N11 1AH,51.616487,-0.135704
Sainsbury's,SW19 1RH,51.419572,-0.200927
Sainsbury's,SW4 0JQ,51.463626,-0.140922
Sainsbury's,N22 6EJ,51.596882,-0.108684
Sainsbury's,IG2 6HE,51.57584,0.065804
Sainsbury's,NW11 8EE,51.572041,-0.197342
Sainsbury's,W12 9AX,51.501657,-0.240748
Sainsbury's,CR0 1PE,51.373976,-0.096002
Sainsbury's,HA3 7AA,51.593214,-0.334836
Sainsbury's,SW18 1TG,51.459851,-0.188724
Sainsbury's,TW15 2UF,#N/A,#N/A
Sainsbury's,KT13 9DL,#N/A,#N/A
Sainsbury's,W7 2DG,51.496903,-0.325699
Sainsbury's,E15 4JF,51.544429,0.014511
Sainsbury's,N4 3PZ,51.570059,-0.114328
Sainsbury's,EC1Y 1BD,51.524887,-0.087366
